hotel_name,city,date,price_per_night,rating,season,is_weekend,year
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-01,248.76,4.7,Winter,Weekday,2024
Republica Hotel Yerevan,Yerevan,2024-01-01,177.42,4.5,Winter,Weekday,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-01,240.10,4.6,Winter,Weekday,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-01,202.38,4.4,Winter,Weekday,2024
Metropol Hotel Yerevan,Yerevan,2024-01-01,155.94,4.3,Winter,Weekday,2024
Grand Hotel Yerevan,Yerevan,2024-01-01,115.48,4.2,Winter,Weekday,2024
Opera Suite Hotel,Yerevan,2024-01-01,88.92,4.1,Winter,Weekday,2024
Silachi Hotel,Yerevan,2024-01-01,137.66,4.0,Winter,Weekday,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-01,168.91,4.6,Winter,Weekday,2024
Kecharis Hotel & Resort,Tsaghkadzor,2024-01-01,171.04,4.5,Winter,Weekday,2024
Ararat Resort Tsaghkadzor,Tsaghkadzor,2024-01-01,178.42,4.4,Winter,Weekday,2024
Golden Palace Tsaghkadzor,Tsaghkadzor,2024-01-01,118.60,4.2,Winter,Weekday,2024
Tufenkian Old Dilijan Complex,Dilijan,2024-01-01,146.37,4.7,Winter,Weekday,2024
Best Western Plus Paradise Hotel Dilijan,Dilijan,2024-01-01,81.24,4.5,Winter,Weekday,2024
Dilijan Resort,Dilijan,2024-01-01,128.17,4.3,Winter,Weekday,2024
Jermuk Olympia Sanatorium,Jermuk,2024-01-01,127.36,4.4,Winter,Weekday,2024
Jermuk Ashkharh Health Center,Jermuk,2024-01-01,104.11,4.2,Winter,Weekday,2024
Jermuk Grand Hotel,Jermuk,2024-01-01,92.11,4.3,Winter,Weekday,2024
Grand Hotel Gyumri,Gyumri,2024-01-01,124.48,4.1,Winter,Weekday,2024
Berlin Art Hotel Gyumri,Gyumri,2024-01-01,116.06,4.0,Winter,Weekday,2024
Aleksandrapol Hotel,Gyumri,2024-01-01,90.07,3.9,Winter,Weekday,2024
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2024-01-02,219.59,4.7,Winter,Weekday,2024
Republica Hotel Yerevan,Yerevan,2024-01-02,162.46,4.5,Winter,Weekday,2024
DoubleTree by Hilton Yerevan,Yerevan,2024-01-02,175.19,4.6,Winter,Weekday,2024
Ani Grand Hotel Yerevan,Yerevan,2024-01-02,194.10,4.4,Winter,Weekday,2024
Metropol Hotel Yerevan,Yerevan,2024-01-02,157.76,4.3,Winter,Weekday,2024
Grand Hotel Yerevan,Yerevan,2024-01-02,126.61,4.2,Winter,Weekday,2024
Opera Suite Hotel,Yerevan,2024-01-02,133.76,4.1,Winter,Weekday,2024
Silachi Hotel,Yerevan,2024-01-02,111.31,4.0,Winter,Weekday,2024
Marriott Tsaghkadzor,Tsaghkadzor,2024-01-02,159.13,4.6,Winter,Weekday,2024
